epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
1,0.50956,0.4872,0.5269,0.50956,0.4872,0.5269,0.50956,0.4872,0.5269,0.50956,0.4872,0.5269
2,0.59664,0.5581,0.6327,0.59594,0.563,0.6273,0.60538,0.5802,0.6327,0.59962,0.5728,0.6279
3,0.67306,0.6664,0.6811,0.6712,0.6689,0.6747,0.67144,0.6638,0.677,0.66998,0.6658,0.6742
4,0.7081,0.7021,0.7157,0.70914,0.7002,0.7201,0.70474,0.6954,0.7177,0.70858,0.6942,0.7259
5,0.7276,0.7227,0.7345,0.7303,0.7249,0.7408,0.72904,0.7191,0.7365,0.72978,0.7192,0.7352
6,0.75206,0.7444,0.7579,0.75068,0.7433,0.7603,0.75064,0.7374,0.7652,0.75374,0.7443,0.7642
7,0.7651,0.7557,0.7768,0.76446,0.7503,0.7738,0.76418,0.7484,0.7733,0.76408,0.7478,0.7704
8,0.76994,0.7551,0.7907,0.77122,0.7513,0.7896,0.77586,0.7564,0.7918,0.77074,0.7572,0.7917
9,0.78014,0.7664,0.794,0.78032,0.769,0.7908,0.78502,0.7807,0.7973,0.78182,0.7761,0.7885
10,0.79194,0.7807,0.804,0.79014,0.7828,0.796,0.78952,0.7803,0.7983,0.79054,0.7847,0.7945
11,0.79676,0.79,0.8037,0.7938,0.7903,0.8003,0.79462,0.7884,0.7987,0.79712,0.7868,0.8043
12,0.7981,0.7951,0.8021,0.79684,0.7858,0.8026,0.7927,0.7787,0.8009,0.79956,0.7921,0.8064
13,0.8089,0.8005,0.8174,0.80596,0.7932,0.8159,0.80996,0.8026,0.8144,0.8078,0.8052,0.8099
14,0.80952,0.8058,0.8141,0.807,0.8003,0.8141,0.81086,0.8028,0.82,0.80962,0.8041,0.8139
15,0.8126,0.8051,0.8271,0.81646,0.8125,0.8292,0.8125,0.8075,0.8241,0.8157,0.8113,0.8256
16,0.81868,0.8148,0.8224,0.81702,0.8107,0.8235,0.81192,0.8017,0.8175,0.8147,0.8108,0.8204
17,0.81756,0.8149,0.8262,0.81702,0.8114,0.824,0.81658,0.8078,0.8234,0.81762,0.8054,0.8255
18,0.82096,0.8112,0.8286,0.817,0.8114,0.8239,0.81648,0.8076,0.8243,0.81918,0.8053,0.8265
19,0.82834,0.8248,0.8317,0.82282,0.8171,0.8286,0.82082,0.8129,0.8249,0.82076,0.8153,0.8317
20,0.8303,0.8266,0.8362,0.82676,0.8164,0.8324,0.8263,0.8147,0.836,0.82826,0.8201,0.8342
21,0.83226,0.823,0.8384,0.83148,0.823,0.836,0.82758,0.8205,0.8329,0.82832,0.823,0.8317
22,0.83566,0.8292,0.8438,0.82962,0.8215,0.8365,0.83036,0.8212,0.8394,0.8283,0.8099,0.8363
23,0.835,0.8329,0.8391,0.83204,0.8249,0.8402,0.83332,0.8287,0.8375,0.83326,0.8262,0.8365
24,0.83422,0.8294,0.8415,0.83398,0.8284,0.838,0.83368,0.8303,0.838,0.83368,0.83,0.8397
25,0.8376,0.832,0.8432,0.83294,0.8233,0.8366,0.833,0.8287,0.842,0.83288,0.8227,0.8424
26,0.83854,0.8349,0.8455,0.83548,0.8314,0.8391,0.83838,0.8353,0.8442,0.83758,0.8339,0.8451
27,0.83846,0.8361,0.8426,0.83612,0.8247,0.8446,0.83576,0.8292,0.8417,0.83212,0.8238,0.8367
28,0.8429,0.836,0.8503,0.8406,0.8307,0.851,0.83552,0.8296,0.8416,0.83508,0.8309,0.8377
29,0.84772,0.8416,0.8509,0.84414,0.8418,0.8478,0.84156,0.8339,0.8466,0.8382,0.83,0.8491
30,0.84608,0.8402,0.8487,0.84078,0.8337,0.8443,0.83976,0.8354,0.843,0.8412,0.8305,0.85
31,0.84742,0.8434,0.8549,0.8419,0.8317,0.8477,0.84162,0.8328,0.8468,0.83824,0.8336,0.8439
32,0.84798,0.8421,0.851,0.84584,0.84,0.8482,0.84436,0.8395,0.8489,0.84134,0.8368,0.8472
33,0.84892,0.8416,0.8549,0.84302,0.8365,0.8478,0.8445,0.8373,0.8518,0.83738,0.8287,0.8418
34,0.85192,0.8461,0.8564,0.8454,0.8416,0.8488,0.84494,0.8418,0.848,0.84312,0.8322,0.8526
35,0.85402,0.8496,0.8568,0.84452,0.8402,0.8499,0.84398,0.8416,0.8479,0.84054,0.8312,0.8465
36,0.85492,0.8519,0.8567,0.84626,0.8427,0.8512,0.84708,0.845,0.8483,0.84526,0.8406,0.8504
37,0.85518,0.8467,0.8576,0.84526,0.8384,0.851,0.8415,0.8341,0.8485,0.8459,0.8405,0.8494
38,0.85614,0.8487,0.8603,0.84916,0.8426,0.8536,0.84816,0.8442,0.8515,0.83998,0.8342,0.8472
39,0.85706,0.8504,0.8602,0.84728,0.8401,0.8543,0.84888,0.8442,0.8557,0.84296,0.8355,0.8529
40,0.85798,0.8525,0.8622,0.84878,0.8464,0.8527,0.84678,0.8415,0.8515,0.84486,0.8392,0.8535
