epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
1,0.49854,0.4822,0.5194,0.49854,0.4822,0.5194,0.49854,0.4822,0.5194,0.49854,0.4822,0.5194
2,0.59372,0.576,0.6108,0.59666,0.5783,0.6119,0.59538,0.5782,0.6124,0.59586,0.5825,0.6117
3,0.65854,0.6508,0.6626,0.65754,0.6493,0.6622,0.6583,0.6493,0.6645,0.6547,0.6447,0.6639
4,0.68478,0.655,0.707,0.68512,0.661,0.7043,0.68724,0.6603,0.7075,0.68694,0.6684,0.7041
5,0.72136,0.7125,0.7346,0.72018,0.7023,0.7349,0.71824,0.7071,0.7357,0.72256,0.7107,0.7316
6,0.74288,0.7344,0.7563,0.7447,0.7411,0.7493,0.74228,0.7301,0.7537,0.74334,0.7388,0.7504
7,0.75224,0.7509,0.7541,0.74758,0.7422,0.7524,0.75264,0.7456,0.7608,0.75088,0.7436,0.7623
8,0.7628,0.7458,0.7806,0.75978,0.7431,0.7787,0.76244,0.7485,0.7816,0.76346,0.7513,0.782
9,0.77458,0.7692,0.7795,0.77126,0.7581,0.7836,0.7716,0.7595,0.777,0.77328,0.762,0.7779
10,0.78342,0.7766,0.7942,0.7823,0.771,0.7962,0.78264,0.7732,0.7943,0.78268,0.7715,0.7983
11,0.7823,0.7764,0.7929,0.78586,0.7794,0.795,0.78492,0.7794,0.7895,0.78516,0.7776,0.7948
12,0.796,0.7775,0.8078,0.79092,0.769,0.8077,0.79676,0.7842,0.8105,0.78844,0.7679,0.8047
13,0.79746,0.7853,0.8076,0.79954,0.7884,0.809,0.80044,0.7912,0.8066,0.7985,0.7924,0.8073
14,0.80438,0.7986,0.81,0.8031,0.7993,0.8069,0.80516,0.8031,0.8084,0.8054,0.8016,0.8093
15,0.80846,0.8016,0.816,0.80892,0.8038,0.813,0.80654,0.8029,0.815,0.81056,0.8019,0.8173
16,0.80834,0.7978,0.8204,0.81218,0.7996,0.8219,0.80988,0.8,0.8239,0.81064,0.8066,0.8144
17,0.81606,0.8107,0.8213,0.81364,0.8053,0.8239,0.81742,0.8133,0.8235,0.81784,0.8124,0.8303
18,0.82114,0.8141,0.8252,0.82188,0.8167,0.8264,0.82336,0.8187,0.8286,0.82078,0.8118,0.8307
19,0.82172,0.8163,0.828,0.82118,0.8111,0.8276,0.82076,0.8131,0.8296,0.81934,0.8092,0.8274
20,0.82292,0.8155,0.8289,0.82212,0.8127,0.8281,0.82236,0.8148,0.8293,0.82324,0.8189,0.8294
21,0.8277,0.8209,0.8337,0.82826,0.8257,0.8325,0.82534,0.8189,0.8332,0.82786,0.8221,0.8339
22,0.8273,0.8201,0.8343,0.82758,0.8226,0.8343,0.82764,0.8257,0.8308,0.82594,0.8206,0.832
23,0.83202,0.8266,0.8378,0.83036,0.8266,0.8344,0.83094,0.8246,0.8338,0.83382,0.8234,0.8411
24,0.83414,0.8231,0.8414,0.83384,0.8289,0.8385,0.83386,0.8303,0.839,0.83314,0.8287,0.8361
25,0.832,0.8268,0.8402,0.83478,0.824,0.8392,0.83374,0.8275,0.8397,0.83506,0.8318,0.8387
26,0.83488,0.8279,0.8395,0.83378,0.8317,0.8399,0.83296,0.83,0.8384,0.83282,0.8304,0.838
27,0.83788,0.8323,0.8424,0.83726,0.8288,0.8445,0.83778,0.8308,0.8429,0.83642,0.8309,0.8421
28,0.83556,0.8194,0.8462,0.8392,0.8307,0.8495,0.83678,0.8269,0.8502,0.83816,0.8323,0.8464
29,0.84454,0.839,0.8498,0.83974,0.8316,0.8467,0.83892,0.8345,0.8421,0.84114,0.8378,0.8437
30,0.84222,0.8356,0.8491,0.84158,0.8363,0.8447,0.83894,0.8306,0.8454,0.84058,0.8358,0.8435
31,0.8404,0.8321,0.8482,0.84204,0.8364,0.8469,0.84012,0.8368,0.8474,0.8433,0.8332,0.8523
32,0.84468,0.8391,0.847,0.84316,0.8407,0.8471,0.84164,0.8398,0.8449,0.84452,0.8418,0.8463
33,0.84466,0.8395,0.8493,0.8432,0.8373,0.8476,0.84194,0.8357,0.8525,0.84454,0.8393,0.8496
34,0.84688,0.844,0.8487,0.84366,0.839,0.8473,0.84306,0.8382,0.8472,0.8431,0.8372,0.8499
35,0.84818,0.8442,0.8528,0.84516,0.8368,0.8505,0.84704,0.8423,0.8514,0.84794,0.8435,0.8516
36,0.8488,0.8468,0.8512,0.84922,0.8471,0.8517,0.84734,0.8404,0.8552,0.84874,0.8446,0.8514
37,0.84964,0.8424,0.8534,0.84464,0.8347,0.8548,0.84634,0.838,0.8547,0.84752,0.8423,0.8529
38,0.85172,0.8488,0.8555,0.84932,0.8438,0.8541,0.84796,0.8442,0.8577,0.84896,0.8423,0.8519
39,0.8507,0.8488,0.8534,0.8492,0.8464,0.8528,0.84898,0.8428,0.856,0.85092,0.8462,0.8593
40,0.85316,0.8514,0.8549,0.8512,0.8488,0.854,0.84732,0.8411,0.8517,0.84914,0.8375,0.8564
41,0.85156,0.8495,0.8553,0.85252,0.8498,0.8564,0.8507,0.8461,0.8545,0.85262,0.8498,0.8564
42,0.8548,0.8489,0.8607,0.85214,0.8488,0.8563,0.85202,0.8422,0.8599,0.8527,0.8472,0.8621
43,0.8553,0.8513,0.8575,0.85296,0.8486,0.8554,0.8522,0.8445,0.8566,0.84966,0.8431,0.854
44,0.85704,0.8553,0.8578,0.8519,0.8501,0.8532,0.84978,0.845,0.854,0.85008,0.8485,0.8511
45,0.85772,0.8529,0.86,0.85454,0.8503,0.859,0.85204,0.8482,0.8562,0.85284,0.8489,0.858
46,0.85904,0.8538,0.862,0.85242,0.8492,0.8559,0.85136,0.8471,0.8583,0.85348,0.8484,0.8574
47,0.8593,0.855,0.8616,0.85422,0.8517,0.8568,0.85494,0.8516,0.8591,0.85598,0.8497,0.8611
48,0.85908,0.8536,0.8628,0.8567,0.8548,0.8589,0.85318,0.8467,0.8644,0.85574,0.8521,0.8571
49,0.86022,0.8576,0.863,0.85564,0.8511,0.858,0.85234,0.8483,0.8562,0.8531,0.8508,0.8585
50,0.86036,0.856,0.8635,0.85482,0.8513,0.857,0.8532,0.8453,0.861,0.85222,0.8495,0.857
51,,,,0.85844,0.8554,0.8614,0.85834,0.8534,0.8622,0.8563,0.8546,0.858
52,,,,0.85674,0.8515,0.8625,0.8578,0.8529,0.8621,0.8582,0.855,0.8619
53,,,,0.85738,0.8546,0.8601,0.8548,0.8487,0.8592,0.8572,0.8528,0.862
54,,,,0.85644,0.8503,0.861,0.85626,0.8535,0.8628,0.85638,0.8513,0.8624
55,,,,0.85696,0.8527,0.86,0.85552,0.8509,0.8593,0.85842,0.8574,0.8595
56,,,,0.85934,0.8569,0.8637,0.85554,0.8505,0.8606,0.8588,0.8556,0.8632
57,,,,0.8599,0.8569,0.8631,0.8577,0.8489,0.8627,0.86058,0.8563,0.8651
58,,,,0.85776,0.8522,0.863,0.85886,0.8559,0.8641,0.85756,0.8491,0.8624
59,,,,0.86064,0.8548,0.8641,0.8584,0.8532,0.8623,0.85836,0.8486,0.8665
60,,,,0.86198,0.8594,0.8636,0.85972,0.8528,0.8643,0.85808,0.854,0.8666
61,,,,0.86118,0.857,0.8654,0.85794,0.8497,0.8624,0.85876,0.8519,0.8645
62,,,,0.86046,0.8574,0.8649,0.85916,0.857,0.8636,0.85894,0.8544,0.8682
63,,,,0.8612,0.8576,0.8647,0.85894,0.8562,0.8623,0.86068,0.8549,0.8662
64,,,,0.86252,0.8569,0.8647,0.85998,0.8559,0.8658,0.86032,0.853,0.8651
65,,,,0.86102,0.8582,0.8625,0.86044,0.8567,0.8661,0.86122,0.8587,0.8662
66,,,,0.8628,0.8597,0.8667,0.85864,0.8551,0.8627,0.8614,0.8597,0.8644
