epoch,E50_val_loss,E50_val_loss_min,E50_val_loss_max,E100_val_loss,E100_val_loss_min,E100_val_loss_max,E150_val_loss,E150_val_loss_min,E150_val_loss_max,E200_val_loss,E200_val_loss_min,E200_val_loss_max
1,0.000788918582111364,0.00027129877465389,0.00134155876003206,0.000788918582111364,0.00027129877465389,0.00134155876003206,0.000788918582111364,0.00027129877465389,0.00134155876003206,0.000788918582111364,0.00027129877465389,0.00134155876003206
2,0.000436434345586652,0.00020370642899555,0.000923718192401187,0.000436434345586652,0.00020370642899555,0.000923718192401187,0.000436434345586652,0.00020370642899555,0.000923718192401187,0.000436434345586652,0.00020370642899555,0.000923718192401187
3,0.000381164286818603,1.32470005761813E-05,0.00141765429483106,0.000381164286818603,1.32470005761813E-05,0.00141765429483106,0.000381164286818603,1.32470005761813E-05,0.00141765429483106,0.000381164286818603,1.32470005761813E-05,0.00141765429483106
4,4.99884091974915E-05,7.21449646334804E-06,0.000144219716579149,4.99884091974915E-05,7.21449646334804E-06,0.000144219716579149,4.99884091974915E-05,7.21449646334804E-06,0.000144219716579149,4.99884091974915E-05,7.21449646334804E-06,0.000144219716579149
5,5.00748298463805E-05,3.99230843110369E-06,0.000166041114425752,5.00748298463805E-05,3.99230843110369E-06,0.000166041114425752,5.00748298463805E-05,3.99230843110369E-06,0.000166041114425752,5.00748298463805E-05,3.99230843110369E-06,0.000166041114425752
6,2.97136188085763E-05,4.6207024221682E-06,0.000102989759094877,2.97136188085763E-05,4.6207024221682E-06,0.000102989759094877,2.97136188085763E-05,4.6207024221682E-06,0.000102989759094877,2.97136188085763E-05,4.6207024221682E-06,0.000102989759094877
7,1.53801471725501E-05,1.22408021733615E-06,3.47004756804381E-05,1.53801471725501E-05,1.22408021733615E-06,3.47004756804381E-05,1.53801471725501E-05,1.22408021733615E-06,3.47004756804381E-05,1.53801471725501E-05,1.22408021733615E-06,3.47004756804381E-05
8,7.25534674567522E-06,1.73647167874454E-06,1.37792278186074E-05,7.25534674567522E-06,1.73647167874454E-06,1.37792278186074E-05,7.25534674567522E-06,1.73647167874454E-06,1.37792278186074E-05,7.25534674567522E-06,1.73647167874454E-06,1.37792278186074E-05
9,7.85189791182954E-06,1.52906122252716E-06,1.8140780715233E-05,7.85189791182954E-06,1.52906122252716E-06,1.8140780715233E-05,7.85189791182954E-06,1.52906122252716E-06,1.8140780715233E-05,7.85189791182954E-06,1.52906122252716E-06,1.8140780715233E-05
10,1.61602732191568E-06,8.62593173186118E-07,3.40421587452511E-06,1.61602732191568E-06,8.62593173186118E-07,3.40421587452511E-06,1.61602732191568E-06,8.62593173186118E-07,3.40421587452511E-06,1.61602732191568E-06,8.62593173186118E-07,3.40421587452511E-06
11,1.21672804657654E-05,8.53054541967898E-07,4.95541489726747E-05,1.21672804657654E-05,8.53054541967898E-07,4.95541489726747E-05,1.21672804657654E-05,8.53054541967898E-07,4.95541489726747E-05,1.21672804657654E-05,8.53054541967898E-07,4.95541489726747E-05
12,3.67562097522978E-06,5.29831401271016E-07,1.15747650018723E-05,3.67562097522978E-06,5.29831401271016E-07,1.15747650018723E-05,3.67562097522978E-06,5.29831401271016E-07,1.15747650018723E-05,3.67562097522978E-06,5.29831401271016E-07,1.15747650018723E-05
13,1.29685212594192E-05,1.6109678047845E-06,4.62149620640654E-05,1.29685212594192E-05,1.6109678047845E-06,4.62149620640654E-05,1.29685212594192E-05,1.6109678047845E-06,4.62149620640654E-05,1.29685212594192E-05,1.6109678047845E-06,4.62149620640654E-05
14,8.4420634569445E-06,2.25539261577978E-06,1.36853971450061E-05,8.4420634569445E-06,2.25539261577978E-06,1.36853971450061E-05,8.4420634569445E-06,2.25539261577978E-06,1.36853971450061E-05,8.4420634569445E-06,2.25539261577978E-06,1.36853971450061E-05
15,3.70206012902941E-06,6.2774718993334E-07,9.08981731602883E-06,3.70206012902941E-06,6.2774718993334E-07,9.08981731602883E-06,3.70206012902941E-06,6.2774718993334E-07,9.08981731602883E-06,3.70206012902941E-06,6.2774718993334E-07,9.08981731602883E-06
16,1.39059506002089E-06,7.02762650443371E-07,2.50089110901778E-06,1.39059506002089E-06,7.02762650443371E-07,2.50089110901778E-06,1.39059506002089E-06,7.02762650443371E-07,2.50089110901778E-06,1.39059506002089E-06,7.02762650443371E-07,2.50089110901778E-06
17,7.68702413485774E-07,4.89198589785171E-07,1.10659226256378E-06,7.68702413485774E-07,4.89198589785171E-07,1.10659226256378E-06,7.68702413485774E-07,4.89198589785171E-07,1.10659226256378E-06,7.68702413485774E-07,4.89198589785171E-07,1.10659226256378E-06
18,1.04128559878329E-06,4.82154869511457E-07,1.63483539949993E-06,1.04128559878329E-06,4.82154869511457E-07,1.63483539949993E-06,1.04128559878329E-06,4.82154869511457E-07,1.63483539949993E-06,1.04128559878329E-06,4.82154869511457E-07,1.63483539949993E-06
19,6.56016082700717E-07,4.09605329802313E-07,1.03073684698529E-06,6.56016082700717E-07,4.09605329802313E-07,1.03073684698529E-06,6.56016082700717E-07,4.09605329802313E-07,1.03073684698529E-06,6.56016082700717E-07,4.09605329802313E-07,1.03073684698529E-06
20,8.61416594943876E-07,3.64982355449683E-07,2.11864493356491E-06,8.61416594943876E-07,3.64982355449683E-07,2.11864493356491E-06,8.61416594943876E-07,3.64982355449683E-07,2.11864493356491E-06,8.61416594943876E-07,3.64982355449683E-07,2.11864493356491E-06
21,5.05493989185387E-07,2.89766623732627E-07,1.01364120060528E-06,5.05493989185387E-07,2.89766623732627E-07,1.01364120060528E-06,5.05493989185387E-07,2.89766623732627E-07,1.01364120060528E-06,5.05493989185387E-07,2.89766623732627E-07,1.01364120060528E-06
22,1.05677571523207E-06,2.29830657024384E-07,2.40045506908852E-06,1.05677571523207E-06,2.29830657024384E-07,2.40045506908852E-06,1.05677571523207E-06,2.29830657024384E-07,2.40045506908852E-06,1.05677571523207E-06,2.29830657024384E-07,2.40045506908852E-06
23,8.12255540931043E-07,2.37182605999919E-07,2.1915137817056E-06,8.12255540931043E-07,2.37182605999919E-07,2.1915137817056E-06,8.12255540931043E-07,2.37182605999919E-07,2.1915137817056E-06,8.12255540931043E-07,2.37182605999919E-07,2.1915137817056E-06
24,3.82794260171219E-07,2.11883843803662E-07,7.76181714456925E-07,3.82794260171219E-07,2.11883843803662E-07,7.76181714456925E-07,3.82794260171219E-07,2.11883843803662E-07,7.76181714456925E-07,3.82794260171219E-07,2.11883843803662E-07,7.76181714456925E-07
25,3.31320101073137E-07,2.37006000010827E-07,4.93303287404009E-07,3.31320101073137E-07,2.37006000010827E-07,4.93303287404009E-07,3.31320101073137E-07,2.37006000010827E-07,4.93303287404009E-07,3.31320101073137E-07,2.37006000010827E-07,4.93303287404009E-07
26,4.02681884755415E-07,3.08628636721172E-07,5.28174808778203E-07,4.02681884755415E-07,3.08628636721172E-07,5.28174808778203E-07,4.02681884755415E-07,3.08628636721172E-07,5.28174808778203E-07,4.02681884755415E-07,3.08628636721172E-07,5.28174808778203E-07
27,3.0866419198361E-07,2.20724920711272E-07,4.78608691641587E-07,3.0866419198361E-07,2.20724920711272E-07,4.78608691641587E-07,3.0866419198361E-07,2.20724920711272E-07,4.78608691641587E-07,3.0866419198361E-07,2.20724920711272E-07,4.78608691641587E-07
28,2.79884536169561E-07,1.63333483331011E-07,5.5807888088566E-07,2.79884536169561E-07,1.63333483331011E-07,5.5807888088566E-07,2.79884536169561E-07,1.63333483331011E-07,5.5807888088566E-07,2.79884536169561E-07,1.63333483331011E-07,5.5807888088566E-07
29,2.76403071985953E-07,1.59985732217649E-07,3.70968713525599E-07,2.76403071985953E-07,1.59985732217649E-07,3.70968713525599E-07,2.76403071985953E-07,1.59985732217649E-07,3.70968713525599E-07,2.76403071985953E-07,1.59985732217649E-07,3.70968713525599E-07
30,2.95849718767727E-07,1.66646183075159E-07,5.97809389546455E-07,2.95849718767727E-07,1.66646183075159E-07,5.97809389546455E-07,2.95849718767727E-07,1.66646183075159E-07,5.97809389546455E-07,2.95849718767727E-07,1.66646183075159E-07,5.97809389546455E-07
31,4.75074457106928E-07,1.64256254227742E-07,1.51381918082431E-06,4.75074457106928E-07,1.64256254227742E-07,1.51381918082431E-06,4.75074457106928E-07,1.64256254227742E-07,1.51381918082431E-06,4.75074457106928E-07,1.64256254227742E-07,1.51381918082431E-06
32,2.4099808607995E-07,1.89590499151867E-07,2.91413599029511E-07,2.4099808607995E-07,1.89590499151867E-07,2.91413599029511E-07,2.4099808607995E-07,1.89590499151867E-07,2.91413599029511E-07,2.4099808607995E-07,1.89590499151867E-07,2.91413599029511E-07
33,2.22080710384394E-07,1.52222229192015E-07,3.42859630464432E-07,2.22080710384394E-07,1.52222229192015E-07,3.42859630464432E-07,2.22080710384394E-07,1.52222229192015E-07,3.42859630464432E-07,2.22080710384394E-07,1.52222229192015E-07,3.42859630464432E-07
34,2.70911903399451E-07,1.55594513273627E-07,4.41266487645938E-07,2.70911903399451E-07,1.55594513273627E-07,4.41266487645938E-07,2.70911903399451E-07,1.55594513273627E-07,4.41266487645938E-07,2.70911903399451E-07,1.55594513273627E-07,4.41266487645938E-07
35,2.2359072981241E-07,1.31516094607302E-07,3.94235917392886E-07,2.2359072981241E-07,1.31516094607302E-07,3.94235917392886E-07,2.2359072981241E-07,1.31516094607302E-07,3.94235917392886E-07,2.2359072981241E-07,1.31516094607302E-07,3.94235917392886E-07
