epoch,N50_val_loss,N50_val_loss_min,N50_val_loss_max,N100_val_loss,N100_val_loss_min,N100_val_loss_max,N150_val_loss,N150_val_loss_min,N150_val_loss_max,N200_val_loss,N200_val_loss_min,N200_val_loss_max
1,0.0236644983602067,0.0194809689031293,0.0264542322450628,0.0236644983602067,0.0194809689031293,0.0264542322450628,0.0236644983602067,0.0194809689031293,0.0264542322450628,0.0236644983602067,0.0194809689031293,0.0264542322450628
2,0.00444895123752455,0.00371140076701219,0.00542739629357432,0.00444895123752455,0.00371140076701219,0.00542739629357432,0.00444895123752455,0.00371140076701219,0.00542739629357432,0.00444895123752455,0.00371140076701219,0.00542739629357432
3,0.00119172195263673,0.000936587416314675,0.00141543994686799,0.00119172195263673,0.000936587416314675,0.00141543994686799,0.00119172195263673,0.000936587416314675,0.00141543994686799,0.00119172195263673,0.000936587416314675,0.00141543994686799
4,0.000594579350096562,0.000407462589161393,0.00094636745537476,0.000594579350096562,0.000407462589161393,0.00094636745537476,0.000594579350096562,0.000407462589161393,0.00094636745537476,0.000594579350096562,0.000407462589161393,0.00094636745537476
5,0.000296728872611614,0.000188980898504572,0.000364154720349082,0.000296728872611614,0.000188980898504572,0.000364154720349082,0.000296728872611614,0.000188980898504572,0.000364154720349082,0.000296728872611614,0.000188980898504572,0.000364154720349082
6,0.000197290838514164,0.000120728490401234,0.000250608468074158,0.000197290838514164,0.000120728490401234,0.000250608468074158,0.000197290838514164,0.000120728490401234,0.000250608468074158,0.000197290838514164,0.000120728490401234,0.000250608468074158
7,9.31655467866221E-05,5.85615456050922E-05,0.000119222275619298,9.31655467866221E-05,5.85615456050922E-05,0.000119222275619298,9.31655467866221E-05,5.85615456050922E-05,0.000119222275619298,9.31655467866221E-05,5.85615456050922E-05,0.000119222275619298
8,6.36510489281742E-05,4.40486782432951E-05,9.72698438393612E-05,6.36510489281742E-05,4.40486782432951E-05,9.72698438393612E-05,6.36510489281742E-05,4.40486782432951E-05,9.72698438393612E-05,6.36510489281742E-05,4.40486782432951E-05,9.72698438393612E-05
9,4.66287636451549E-05,1.84441762485221E-05,9.10269197144468E-05,4.66287636451549E-05,1.84441762485221E-05,9.10269197144468E-05,4.66287636451549E-05,1.84441762485221E-05,9.10269197144468E-05,4.66287636451549E-05,1.84441762485221E-05,9.10269197144468E-05
10,4.10574708591109E-05,1.8286950686767E-05,5.25529729505555E-05,4.10574708591109E-05,1.8286950686767E-05,5.25529729505555E-05,4.10574708591109E-05,1.8286950686767E-05,5.25529729505555E-05,4.10574708591109E-05,1.8286950686767E-05,5.25529729505555E-05
11,3.10885338800896E-05,1.9803967044633E-05,6.59292045384063E-05,3.10885338800896E-05,1.9803967044633E-05,6.59292045384063E-05,3.10885338800896E-05,1.9803967044633E-05,6.59292045384063E-05,3.10885338800896E-05,1.9803967044633E-05,6.59292045384063E-05
12,1.75496384599683E-05,1.22048510320383E-05,2.42526959179183E-05,1.75496384599683E-05,1.22048510320383E-05,2.42526959179183E-05,1.75496384599683E-05,1.22048510320383E-05,2.42526959179183E-05,1.75496384599683E-05,1.22048510320383E-05,2.42526959179183E-05
13,1.34276315748139E-05,9.02310519753276E-06,2.28289940575147E-05,1.34276315748139E-05,9.02310519753276E-06,2.28289940575147E-05,1.34276315748139E-05,9.02310519753276E-06,2.28289940575147E-05,1.34276315748139E-05,9.02310519753276E-06,2.28289940575147E-05
14,3.14479317504871E-05,6.15985366418196E-06,0.000112450513370277,3.14479317504871E-05,6.15985366418196E-06,0.000112450513370277,3.14479317504871E-05,6.15985366418196E-06,0.000112450513370277,3.14479317504871E-05,6.15985366418196E-06,0.000112450513370277
15,2.29047032272926E-05,6.00340397719871E-06,8.5147877750084E-05,2.29047032272926E-05,6.00340397719871E-06,8.5147877750084E-05,2.29047032272926E-05,6.00340397719871E-06,8.5147877750084E-05,2.29047032272926E-05,6.00340397719871E-06,8.5147877750084E-05
16,2.06556496398965E-05,6.1861953213338E-06,6.54993937132531E-05,2.06556496398965E-05,6.1861953213338E-06,6.54993937132531E-05,2.06556496398965E-05,6.1861953213338E-06,6.54993937132531E-05,2.06556496398965E-05,6.1861953213338E-06,6.54993937132531E-05
