epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
1,0.00169559627732572,0.000536749556583042,0.00314699493659039,0.00169559627732572,0.000536749556583042,0.00314699493659039,0.00169559627732572,0.000536749556583042,0.00314699493659039,0.00169559627732572,0.000536749556583042,0.00314699493659039
2,0.000614650281446908,0.000300937303109095,0.00127056369092315,0.000386907803840586,0.000203240732541114,0.000500593272590777,0.000859555530284221,0.000257708134692318,0.00203889398350536,0.00108695773784954,0.000156171409798844,0.00386229701689445
3,0.000630488725861748,4.6930545977375E-05,0.00141071133354368,0.000494696192617994,0.000112534083503609,0.00153581022459548,0.000467301423183623,0.000121722438355694,0.000741784958033046,0.000429779194807149,0.000116835725748388,0.000800490636417332
4,0.000372717291490214,5.96059941623632E-05,0.000910315330353721,0.000104061485459776,2.46617022033509E-05,0.000211107396050162,0.000166492771237851,2.66112515419081E-05,0.000568535797356162,0.000334892760558129,1.74961866150625E-05,0.000710337641066872
5,0.000164239157049906,7.76185536703148E-06,0.000549206111221186,5.67425589451887E-05,5.73214087277544E-06,0.000186033620896827,4.27407982745838E-05,5.11626979005087E-06,0.000143294430017704,5.11549109736128E-05,1.76109307782705E-05,7.26297839719337E-05
6,3.85391742004989E-05,5.63251567579452E-06,0.000147683949156393,3.42479682577353E-05,4.25565109670364E-06,0.000129633232669827,6.16533541309157E-05,1.21735826799826E-05,0.000148415992346903,2.69078950395851E-05,1.17220786250982E-05,7.27433492405301E-05
7,2.57256221156392E-05,3.6915575852466E-06,4.51041357033925E-05,6.95019955363326E-05,3.64962066138711E-06,0.000245733934813567,0.000707548991675822,3.62389150154741E-06,0.0033767577939822,6.41116866669715E-05,2.88427668995913E-05,0.000121756305816234
8,8.27513170861494E-05,5.85574442387345E-06,0.000256679678083553,5.70518234515779E-05,7.12002177275887E-06,0.00014133542633014,0.000606951122335886,6.40735379420221E-06,0.00193525597569533,6.4480514273176E-05,5.43370250246274E-06,0.000211507463366919
9,8.11165078175691E-05,2.54373586964599E-06,0.000192210125533165,2.33501464284321E-05,6.25401016426016E-06,6.28058758896562E-05,0.000235651792005835,1.82060142227177E-05,0.000765026573693225,4.36879738136516E-05,3.73387851482221E-06,9.94591167303345E-05
10,1.36060592401085E-05,2.13665489449492E-06,3.3111921084128E-05,2.10560541139178E-05,9.69272696238477E-06,3.80164436440585E-05,0.00031831410230249,2.0705638007712E-05,0.00143716379049389,1.8197609207012E-05,1.82247465356037E-06,5.40376363460382E-05
11,3.18262289586831E-05,4.80320934078312E-06,0.000131946042529307,0.00021838084569102,5.34435088184182E-06,0.000709614617032154,0.000115047483334744,4.07419758137924E-06,0.000531080513610505,6.27352884199202E-05,2.66383679559112E-06,0.000214299914659932
12,4.39371717182742E-05,2.61718724914317E-06,0.000154877296154154,0.000165994468363806,5.54037454018423E-06,0.000605951305866862,7.51453293219129E-05,2.73294326310255E-06,0.000214953401155071,3.51942326195361E-05,3.16997740886412E-06,7.40066461730748E-05
13,1.8503513309535E-05,1.77501589841237E-06,5.19836451834029E-05,1.33712215813375E-05,3.60960193764489E-06,3.58892903022934E-05,2.9399882191683E-05,1.67598022926541E-05,4.30633388835607E-05,3.46071622743693E-05,4.5166843089343E-06,8.27511454796574E-05
14,2.51328243696965E-05,1.92093438045049E-06,6.33749359622016E-05,6.84643367984942E-05,4.19326692243279E-06,0.000262425492110197,0.000203636790435742,4.5860351463034E-06,0.000871679115031535,2.43289867796648E-05,4.11367836742708E-06,8.29977322306756E-05
15,2.79878288154123E-05,1.83450268309571E-06,0.00012781064833689,2.90714321844613E-05,2.75173873850084E-06,7.23086198680297E-05,4.08867827218273E-05,4.92123069761874E-06,0.000119480518151249,3.42574837759457E-05,7.27995529814507E-06,0.0000901519127486002
16,2.16019272860043E-05,5.81676162407045E-06,3.74387799032168E-05,0.00109078892391115,3.10789110358201E-06,0.00536117648395399,1.04685770149141E-05,5.90378933414589E-06,2.38151950118966E-05,8.87983317246229E-05,1.34812459009481E-05,0.00012659652899553
17,7.63924298847011E-06,9.38255266665541E-07,1.70241714461857E-05,0.000189382929851452,9.33256572466235E-07,0.000839003114379011,8.47701792508815E-05,4.59392009588555E-06,0.000397440845214684,0.000154538436098051,1.41452681627167E-06,0.000668326336987472
