epoch,EH50_val_loss,EH50_val_loss_min,EH50_val_loss_max,EH100_val_loss,EH100_val_loss_min,EH100_val_loss_max,EH150_val_loss,EH150_val_loss_min,EH150_val_loss_max,EH200_val_loss,EH200_val_loss_min,EH200_val_loss_max
1,0.50866,0.4883,0.5286,0.50866,0.4883,0.5286,0.50866,0.4883,0.5286,0.50866,0.4883,0.5286
2,0.60564,0.5793,0.6329,0.60046,0.5594,0.6313,0.60048,0.5611,0.6249,0.60508,0.5758,0.6318
3,0.65728,0.6191,0.6856,0.65816,0.6048,0.6846,0.65672,0.6111,0.6845,0.6565,0.6063,0.6762
4,0.70864,0.6897,0.7176,0.71132,0.6914,0.7276,0.71144,0.6943,0.7189,0.7107,0.6902,0.7235
5,0.7302,0.7127,0.7482,0.7293,0.7069,0.7465,0.72548,0.7043,0.7405,0.72956,0.7097,0.7468
6,0.74824,0.743,0.7587,0.75208,0.7454,0.7557,0.7511,0.745,0.76,0.75238,0.7447,0.7589
7,0.7599,0.7565,0.767,0.76158,0.7545,0.7692,0.76164,0.7564,0.77,0.76214,0.7523,0.7701
8,0.76444,0.7475,0.7736,0.764,0.7405,0.781,0.76272,0.7491,0.7698,0.76358,0.7398,0.7745
9,0.777,0.7638,0.7907,0.78002,0.7667,0.7938,0.77794,0.7666,0.792,0.77776,0.7621,0.7999
10,0.79082,0.781,0.7994,0.79052,0.778,0.7985,0.78958,0.7816,0.7938,0.7919,0.78,0.7991
11,0.7944,0.7855,0.8079,0.79412,0.7831,0.8054,0.79502,0.7905,0.7986,0.79528,0.789,0.8095
12,0.80168,0.7904,0.8094,0.7987,0.7884,0.8053,0.7993,0.7829,0.8095,0.79852,0.7891,0.8072
13,0.80324,0.7942,0.8192,0.80202,0.7947,0.8123,0.80466,0.7965,0.818,0.80552,0.7978,0.8169
14,0.80738,0.8037,0.8164,0.805,0.7951,0.8127,0.80674,0.8015,0.8126,0.80848,0.8037,0.8143
15,0.81202,0.7995,0.8232,0.81364,0.805,0.8267,0.81214,0.8011,0.8248,0.81282,0.8015,0.8201
16,0.82012,0.8129,0.8261,0.81556,0.8105,0.8235,0.81644,0.8018,0.8274,0.81678,0.8041,0.8215
17,0.81714,0.8081,0.8234,0.81632,0.811,0.8255,0.81812,0.8078,0.8253,0.81528,0.8109,0.8226
18,0.82542,0.819,0.8332,0.82502,0.8205,0.8328,0.82318,0.8139,0.8321,0.82156,0.8147,0.8307
19,0.82464,0.8218,0.8269,0.82568,0.8241,0.827,0.82268,0.816,0.8292,0.82196,0.819,0.824
20,0.8261,0.816,0.8335,0.82246,0.8147,0.8297,0.82744,0.8229,0.8311,0.82472,0.8158,0.8315
21,0.8306,0.8202,0.8414,0.82946,0.8188,0.8363,0.8302,0.8183,0.838,0.82602,0.8121,0.8366
22,0.83136,0.8226,0.8384,0.83194,0.8227,0.8366,0.83304,0.8266,0.8377,0.83084,0.8249,0.8416
23,0.83172,0.8256,0.8392,0.83322,0.8291,0.8376,0.82912,0.8187,0.8351,0.83198,0.8244,0.8387
24,0.8339,0.8265,0.8399,0.8338,0.8291,0.84,0.83416,0.829,0.8393,0.83236,0.825,0.8377
25,0.83306,0.8169,0.8458,0.83288,0.8089,0.8454,0.83538,0.8192,0.8425,0.83558,0.8174,0.8466
26,0.83634,0.8333,0.841,0.83578,0.832,0.8395,0.83646,0.8335,0.8394,0.83284,0.8272,0.837
27,0.83948,0.8344,0.8473,0.83734,0.827,0.845,0.83708,0.8337,0.8406,0.8387,0.8314,0.8455
28,0.84082,0.8348,0.846,0.842,0.8397,0.8481,0.84144,0.8353,0.8448,0.8397,0.8346,0.8439
29,0.8442,0.8397,0.8508,0.845,0.8392,0.8512,0.8434,0.8385,0.8475,0.84452,0.8381,0.851
30,0.84396,0.8411,0.8493,0.8417,0.8349,0.8516,0.84106,0.8325,0.8466,0.84274,0.8336,0.85
31,0.84424,0.838,0.8497,0.84166,0.8318,0.8547,0.84318,0.8387,0.8503,0.84332,0.8342,0.8513
