epoch,E50_val_loss,E50_val_loss_min,E50_val_loss_max,E100_val_loss,E100_val_loss_min,E100_val_loss_max,E150_val_loss,E150_val_loss_min,E150_val_loss_max,E200_val_loss,E200_val_loss_min,E200_val_loss_max
1,0.48396,0.4732,0.4923,0.48396,0.4732,0.4923,0.48396,0.4732,0.4923,0.48396,0.4732,0.4923
2,0.5781,0.5678,0.5876,0.5781,0.5678,0.5876,0.5781,0.5678,0.5876,0.5781,0.5678,0.5876
3,0.6383,0.627,0.65,0.6383,0.627,0.65,0.6383,0.627,0.65,0.6383,0.627,0.65
4,0.68618,0.6741,0.6909,0.68618,0.6741,0.6909,0.68618,0.6741,0.6909,0.68618,0.6741,0.6909
5,0.70724,0.6881,0.7198,0.70724,0.6881,0.7198,0.70724,0.6881,0.7198,0.70724,0.6881,0.7198
6,0.72662,0.71,0.74,0.72662,0.71,0.74,0.72662,0.71,0.74,0.72662,0.71,0.74
7,0.74362,0.7368,0.7522,0.74362,0.7368,0.7522,0.74362,0.7368,0.7522,0.74362,0.7368,0.7522
8,0.75558,0.7485,0.7624,0.75558,0.7485,0.7624,0.75558,0.7485,0.7624,0.75558,0.7485,0.7624
9,0.76654,0.7611,0.7725,0.76654,0.7611,0.7725,0.76654,0.7611,0.7725,0.76654,0.7611,0.7725
10,0.78012,0.7791,0.7813,0.78012,0.7791,0.7813,0.78012,0.7791,0.7813,0.78012,0.7791,0.7813
11,0.77442,0.7586,0.7915,0.77442,0.7586,0.7915,0.77442,0.7586,0.7915,0.77442,0.7586,0.7915
12,0.78868,0.7842,0.7941,0.78868,0.7842,0.7941,0.78868,0.7842,0.7941,0.78868,0.7842,0.7941
13,0.79708,0.7921,0.7993,0.79708,0.7921,0.7993,0.79708,0.7921,0.7993,0.79708,0.7921,0.7993
14,0.79662,0.7835,0.8052,0.79662,0.7835,0.8052,0.79662,0.7835,0.8052,0.79662,0.7835,0.8052
15,0.79818,0.7901,0.8055,0.79818,0.7901,0.8055,0.79818,0.7901,0.8055,0.79818,0.7901,0.8055
16,0.80766,0.7965,0.8147,0.80766,0.7965,0.8147,0.80766,0.7965,0.8147,0.80766,0.7965,0.8147
17,0.81126,0.8049,0.8151,0.81126,0.8049,0.8151,0.81126,0.8049,0.8151,0.81126,0.8049,0.8151
18,0.81704,0.8118,0.8257,0.81704,0.8118,0.8257,0.81704,0.8118,0.8257,0.81704,0.8118,0.8257
19,0.81806,0.8137,0.824,0.81806,0.8137,0.824,0.81806,0.8137,0.824,0.81806,0.8137,0.824
20,0.81932,0.8024,0.8292,0.81932,0.8024,0.8292,0.81932,0.8024,0.8292,0.81932,0.8024,0.8292
21,0.8211,0.8098,0.8292,0.8211,0.8098,0.8292,0.8211,0.8098,0.8292,0.8211,0.8098,0.8292
22,0.8224,0.8176,0.824,0.8224,0.8176,0.824,0.8224,0.8176,0.824,0.8224,0.8176,0.824
23,0.82908,0.8242,0.832,0.82908,0.8242,0.832,0.82908,0.8242,0.832,0.82908,0.8242,0.832
24,0.83148,0.8287,0.8338,0.83148,0.8287,0.8338,0.83148,0.8287,0.8338,0.83148,0.8287,0.8338
25,0.83112,0.8212,0.8387,0.83112,0.8212,0.8387,0.83112,0.8212,0.8387,0.83112,0.8212,0.8387
26,0.83538,0.8246,0.8422,0.83538,0.8246,0.8422,0.83538,0.8246,0.8422,0.83538,0.8246,0.8422
27,0.82692,0.8158,0.8402,0.82692,0.8158,0.8402,0.82692,0.8158,0.8402,0.82692,0.8158,0.8402
28,0.83376,0.8313,0.8381,0.83376,0.8313,0.8381,0.83376,0.8313,0.8381,0.83376,0.8313,0.8381
29,0.8351,0.8317,0.8399,0.8351,0.8317,0.8399,0.8351,0.8317,0.8399,0.8351,0.8317,0.8399
30,0.8389,0.8356,0.8406,0.8389,0.8356,0.8406,0.8389,0.8356,0.8406,0.8389,0.8356,0.8406
31,0.83762,0.8302,0.8424,0.83762,0.8302,0.8424,0.83762,0.8302,0.8424,0.83762,0.8302,0.8424
32,0.84258,0.84,0.8479,0.84258,0.84,0.8479,0.84258,0.84,0.8479,0.84258,0.84,0.8479
33,0.84108,0.8346,0.8481,0.84108,0.8346,0.8481,0.84108,0.8346,0.8481,0.84108,0.8346,0.8481
34,0.84206,0.8356,0.8475,0.84206,0.8356,0.8475,0.84206,0.8356,0.8475,0.84206,0.8356,0.8475
35,0.8444,0.8373,0.8517,0.8444,0.8373,0.8517,0.8444,0.8373,0.8517,0.8444,0.8373,0.8517
36,0.84546,0.8413,0.8479,0.84546,0.8413,0.8479,0.84546,0.8413,0.8479,0.84546,0.8413,0.8479
37,0.8453,0.8339,0.8502,0.8453,0.8339,0.8502,0.8453,0.8339,0.8502,0.8453,0.8339,0.8502
38,0.84788,0.8439,0.8536,0.84788,0.8439,0.8536,0.84788,0.8439,0.8536,0.84788,0.8439,0.8536
39,0.84956,0.845,0.8544,0.84956,0.845,0.8544,0.84956,0.845,0.8544,0.84956,0.845,0.8544
40,0.85022,0.8448,0.8538,0.85022,0.8448,0.8538,0.85022,0.8448,0.8538,0.85022,0.8448,0.8538
41,0.84786,0.8362,0.8558,0.84786,0.8362,0.8558,0.84786,0.8362,0.8558,0.84786,0.8362,0.8558
42,0.84884,0.843,0.8552,0.84884,0.843,0.8552,0.84884,0.843,0.8552,0.84884,0.843,0.8552
43,0.85262,0.8427,0.8563,0.85262,0.8427,0.8563,0.85262,0.8427,0.8563,0.85262,0.8427,0.8563
44,0.85234,0.8494,0.8551,0.85234,0.8494,0.8551,0.85234,0.8494,0.8551,0.85234,0.8494,0.8551
45,0.85258,0.8487,0.858,0.85258,0.8487,0.858,0.85258,0.8487,0.858,0.85258,0.8487,0.858
46,0.8534,0.8478,0.8592,0.8534,0.8478,0.8592,0.8534,0.8478,0.8592,0.8534,0.8478,0.8592
47,0.85268,0.8474,0.8601,0.85268,0.8474,0.8601,0.85268,0.8474,0.8601,0.85268,0.8474,0.8601
48,0.85418,0.8513,0.8578,0.85418,0.8513,0.8578,0.85418,0.8513,0.8578,0.85418,0.8513,0.8578
49,0.85602,0.8517,0.8631,0.85602,0.8517,0.8631,0.85602,0.8517,0.8631,0.85602,0.8517,0.8631
50,0.85502,0.8515,0.8596,0.85502,0.8515,0.8596,0.85502,0.8515,0.8596,0.85502,0.8515,0.8596
51,,,,0.85614,0.8519,0.8597,0.85614,0.8519,0.8597,0.85614,0.8519,0.8597
52,,,,0.85592,0.8535,0.8596,0.85592,0.8535,0.8596,0.85592,0.8535,0.8596
53,,,,0.85576,0.8443,0.862,0.85576,0.8443,0.862,0.85576,0.8443,0.862
54,,,,0.85822,0.8558,0.8638,0.85822,0.8558,0.8638,0.85822,0.8558,0.8638
55,,,,0.85768,0.8514,0.8639,0.85768,0.8514,0.8639,0.85768,0.8514,0.8639
56,,,,0.8576,0.8526,0.8602,0.8576,0.8526,0.8602,0.8576,0.8526,0.8602
57,,,,0.85926,0.8563,0.8613,0.85926,0.8563,0.8613,0.85926,0.8563,0.8613
58,,,,0.857,0.8538,0.8604,0.857,0.8538,0.8604,0.857,0.8538,0.8604
59,,,,0.85906,0.8518,0.8631,0.85906,0.8518,0.8631,0.85906,0.8518,0.8631
60,,,,0.8591,0.8547,0.8652,0.8591,0.8547,0.8652,0.8591,0.8547,0.8652
61,,,,0.85998,0.8572,0.862,0.85998,0.8572,0.862,0.85998,0.8572,0.862
62,,,,0.85986,0.8548,0.8641,0.85986,0.8548,0.8641,0.85986,0.8548,0.8641
63,,,,0.8618,0.8561,0.8642,0.8618,0.8561,0.8642,0.8618,0.8561,0.8642
64,,,,0.86164,0.8599,0.8651,0.86164,0.8599,0.8651,0.86164,0.8599,0.8651
65,,,,0.86066,0.8569,0.8627,0.86066,0.8569,0.8627,0.86066,0.8569,0.8627
66,,,,0.8618,0.86,0.864,0.8618,0.86,0.864,0.8618,0.86,0.864
67,,,,0.86124,0.858,0.8641,0.86124,0.858,0.8641,0.86124,0.858,0.8641
68,,,,0.86244,0.8589,0.8644,0.86244,0.8589,0.8644,0.86244,0.8589,0.8644
69,,,,0.86292,0.8601,0.8653,0.86292,0.8601,0.8653,0.86292,0.8601,0.8653
70,,,,0.86284,0.8553,0.8664,0.86284,0.8553,0.8664,0.86284,0.8553,0.8664
71,,,,0.86342,0.8619,0.865,0.86342,0.8619,0.865,0.86342,0.8619,0.865
72,,,,0.86268,0.8569,0.8672,0.86268,0.8569,0.8672,0.86268,0.8569,0.8672
73,,,,0.86306,0.86,0.8648,0.86306,0.86,0.8648,0.86306,0.86,0.8648
74,,,,0.86112,0.8557,0.8656,0.86112,0.8557,0.8656,0.86112,0.8557,0.8656
75,,,,0.86206,0.8573,0.8664,0.86206,0.8573,0.8664,0.86206,0.8573,0.8664
76,,,,0.86396,0.8622,0.8663,0.86396,0.8622,0.8663,0.86396,0.8622,0.8663
77,,,,0.8605,0.8555,0.8653,0.8605,0.8555,0.8653,0.8605,0.8555,0.8653
78,,,,0.86272,0.8616,0.8653,0.86272,0.8616,0.8653,0.86272,0.8616,0.8653
79,,,,0.86514,0.8628,0.8667,0.86514,0.8628,0.8667,0.86514,0.8628,0.8667
80,,,,0.8647,0.8622,0.8689,0.8647,0.8622,0.8689,0.8647,0.8622,0.8689
81,,,,0.86478,0.8619,0.8678,0.86478,0.8619,0.8678,0.86478,0.8619,0.8678
82,,,,0.86562,0.8619,0.8692,0.86562,0.8619,0.8692,0.86562,0.8619,0.8692
83,,,,0.86332,0.8617,0.8662,0.86332,0.8617,0.8662,0.86332,0.8617,0.8662
84,,,,0.86568,0.8615,0.8686,0.86568,0.8615,0.8686,0.86568,0.8615,0.8686
85,,,,0.86626,0.8641,0.8698,0.86626,0.8641,0.8698,0.86626,0.8641,0.8698
86,,,,0.86644,0.8618,0.8714,0.86644,0.8618,0.8714,0.86644,0.8618,0.8714
87,,,,0.86534,0.8643,0.8679,0.86534,0.8643,0.8679,0.86534,0.8643,0.8679
88,,,,0.86698,0.8611,0.8731,0.86698,0.8611,0.8731,0.86698,0.8611,0.8731
89,,,,0.86758,0.8638,0.8717,0.86758,0.8638,0.8717,0.86758,0.8638,0.8717
90,,,,0.86696,0.8658,0.8683,0.86696,0.8658,0.8683,0.86696,0.8658,0.8683
91,,,,0.86654,0.8605,0.8713,0.86654,0.8605,0.8713,0.86654,0.8605,0.8713
92,,,,0.86558,0.8642,0.8676,0.86558,0.8642,0.8676,0.86558,0.8642,0.8676
93,,,,0.86602,0.8633,0.8689,0.86602,0.8633,0.8689,0.86602,0.8633,0.8689
94,,,,0.86654,0.8643,0.8682,0.86654,0.8643,0.8682,0.86654,0.8643,0.8682
95,,,,0.86748,0.8644,0.8712,0.86748,0.8644,0.8712,0.86748,0.8644,0.8712
96,,,,0.8678,0.863,0.871,0.8678,0.863,0.871,0.8678,0.863,0.871
97,,,,0.86706,0.8651,0.8695,0.86706,0.8651,0.8695,0.86706,0.8651,0.8695
98,,,,0.86714,0.8618,0.8733,0.86714,0.8618,0.8733,0.86714,0.8618,0.8733
99,,,,0.86806,0.8666,0.8695,0.86806,0.8666,0.8695,0.86806,0.8666,0.8695
100,,,,0.86854,0.8631,0.8723,0.86854,0.8631,0.8723,0.86854,0.8631,0.8723
101,,,,,,,0.86732,0.8652,0.8713,0.86732,0.8652,0.8713
102,,,,,,,0.86824,0.866,0.8713,0.86824,0.866,0.8713
103,,,,,,,0.8701,0.8682,0.8714,0.8701,0.8682,0.8714
104,,,,,,,0.86976,0.8666,0.8729,0.86976,0.8666,0.8729
105,,,,,,,0.86926,0.8667,0.8716,0.86926,0.8667,0.8716
106,,,,,,,0.8692,0.8664,0.8728,0.8692,0.8664,0.8728
107,,,,,,,0.86918,0.8658,0.8716,0.86918,0.8658,0.8716
108,,,,,,,0.86958,0.8669,0.8717,0.86958,0.8669,0.8717
109,,,,,,,0.87042,0.8673,0.8748,0.87042,0.8673,0.8748
110,,,,,,,0.86984,0.8671,0.8717,0.86984,0.8671,0.8717
