epoch,N50_val_loss,N50_val_loss_min,N50_val_loss_max,N100_val_loss,N100_val_loss_min,N100_val_loss_max,N150_val_loss,N150_val_loss_min,N150_val_loss_max,N200_val_loss,N200_val_loss_min,N200_val_loss_max
1,0.48146,0.4574,0.4971,0.48146,0.4574,0.4971,0.48146,0.4574,0.4971,0.48146,0.4574,0.4971
2,0.57704,0.5557,0.6012,0.57704,0.5557,0.6012,0.57704,0.5557,0.6012,0.57704,0.5557,0.6012
3,0.6454,0.6268,0.658,0.6454,0.6268,0.658,0.6454,0.6268,0.658,0.6454,0.6268,0.658
4,0.68034,0.6679,0.6915,0.68034,0.6679,0.6915,0.68034,0.6679,0.6915,0.68034,0.6679,0.6915
5,0.7158,0.7075,0.7231,0.7158,0.7075,0.7231,0.7158,0.7075,0.7231,0.7158,0.7075,0.7231
6,0.73086,0.7266,0.7351,0.73086,0.7266,0.7351,0.73086,0.7266,0.7351,0.73086,0.7266,0.7351
7,0.74282,0.7318,0.7488,0.74282,0.7318,0.7488,0.74282,0.7318,0.7488,0.74282,0.7318,0.7488
8,0.7569,0.7428,0.7711,0.7569,0.7428,0.7711,0.7569,0.7428,0.7711,0.7569,0.7428,0.7711
9,0.7686,0.7539,0.7771,0.7686,0.7539,0.7771,0.7686,0.7539,0.7771,0.7686,0.7539,0.7771
10,0.7802,0.7746,0.7844,0.7802,0.7746,0.7844,0.7802,0.7746,0.7844,0.7802,0.7746,0.7844
11,0.78808,0.7842,0.7934,0.78808,0.7842,0.7934,0.78808,0.7842,0.7934,0.78808,0.7842,0.7934
12,0.79224,0.7888,0.7976,0.79224,0.7888,0.7976,0.79224,0.7888,0.7976,0.79224,0.7888,0.7976
13,0.79466,0.7777,0.8036,0.79466,0.7777,0.8036,0.79466,0.7777,0.8036,0.79466,0.7777,0.8036
14,0.8029,0.7907,0.8107,0.8029,0.7907,0.8107,0.8029,0.7907,0.8107,0.8029,0.7907,0.8107
15,0.80442,0.7986,0.8103,0.80442,0.7986,0.8103,0.80442,0.7986,0.8103,0.80442,0.7986,0.8103
16,0.80236,0.7823,0.8135,0.80236,0.7823,0.8135,0.80236,0.7823,0.8135,0.80236,0.7823,0.8135
17,0.80852,0.7934,0.8159,0.80852,0.7934,0.8159,0.80852,0.7934,0.8159,0.80852,0.7934,0.8159
18,0.81564,0.8106,0.8282,0.81564,0.8106,0.8282,0.81564,0.8106,0.8282,0.81564,0.8106,0.8282
19,0.81728,0.8123,0.8249,0.81728,0.8123,0.8249,0.81728,0.8123,0.8249,0.81728,0.8123,0.8249
20,0.82022,0.8169,0.8224,0.82022,0.8169,0.8224,0.82022,0.8169,0.8224,0.82022,0.8169,0.8224
21,0.82382,0.8156,0.8311,0.82382,0.8156,0.8311,0.82382,0.8156,0.8311,0.82382,0.8156,0.8311
22,0.82394,0.8196,0.8285,0.82394,0.8196,0.8285,0.82394,0.8196,0.8285,0.82394,0.8196,0.8285
23,0.83118,0.8248,0.8342,0.83118,0.8248,0.8342,0.83118,0.8248,0.8342,0.83118,0.8248,0.8342
24,0.83136,0.8259,0.8361,0.83136,0.8259,0.8361,0.83136,0.8259,0.8361,0.83136,0.8259,0.8361
25,0.8298,0.8174,0.8343,0.8298,0.8174,0.8343,0.8298,0.8174,0.8343,0.8298,0.8174,0.8343
26,0.83302,0.8293,0.8358,0.83302,0.8293,0.8358,0.83302,0.8293,0.8358,0.83302,0.8293,0.8358
27,0.83486,0.8276,0.8389,0.83486,0.8276,0.8389,0.83486,0.8276,0.8389,0.83486,0.8276,0.8389
