epoch,EH50_val_loss,EH50_val_loss_min,EH50_val_loss_max,EH100_val_loss,EH100_val_loss_min,EH100_val_loss_max,EH150_val_loss,EH150_val_loss_min,EH150_val_loss_max,EH200_val_loss,EH200_val_loss_min,EH200_val_loss_max
1,0.00125134148596165,0.000572713620689077,0.0017381266176623,0.00125134148596165,0.000572713620689077,0.0017381266176623,0.00125134148596165,0.000572713620689077,0.0017381266176623,0.00125134148596165,0.000572713620689077,0.0017381266176623
2,0.00100997597472391,3.66981657104285E-05,0.00192414661190317,0.000687182941783249,6.83011753608298E-05,0.0023001444254381,0.000793295165325011,8.19258669556196E-05,0.00227731073876688,0.000860556975809838,8.27171907076263E-05,0.00235603525167486
3,0.00155358168051407,1.20576713698028E-05,0.00667769584106281,0.000244378625393438,7.94810925223525E-06,0.00077862236018215,0.000420073957608717,1.08452650617134E-05,0.00116101005308641,0.000260424458777682,2.76854765767591E-05,0.000684329401944221
4,0.000388349169319705,4.94824615770995E-06,0.000908488065761048,0.000181029702370476,4.01589706674107E-06,0.0008654539269628,0.00020192371922955,1.73149357275785E-05,0.000817573542008176,8.59078614401672E-05,7.92998080593558E-06,0.000344564330589492
5,0.000196338643396151,6.6885731750214E-06,0.000746047243107265,3.24775361491447E-05,3.67915522285026E-06,0.000143701241540839,3.6660823298007E-05,6.00658171379109E-06,9.59572622984221E-05,2.1817593680377E-05,3.24024132207038E-06,7.25648552967565E-05
6,4.51991182217171E-05,3.5859593291813E-06,0.000165744800445585,4.70641787633971E-06,1.90052163873133E-06,1.31831118324044E-05,1.11053456180343E-05,3.51024402789335E-06,1.99629574429612E-05,3.21247695145151E-05,2.25897446171075E-06,0.000140773930979776
7,8.87902935460261E-06,1.73410309874574E-06,2.12603078277122E-05,5.34698333751749E-06,1.76659945812692E-06,1.68321954940135E-05,5.05962824585519E-06,2.08110349338616E-06,9.09811573516587E-06,1.16285237813448E-05,1.61454613116045E-06,3.25180795546961E-05
8,4.3329879247267E-06,1.27854748654954E-06,1.30633148576938E-05,4.07862060474902E-06,1.3138555345904E-06,8.3271082568596E-06,1.43155015801237E-05,2.68161078054163E-06,5.66504202955305E-05,4.85250360829544E-06,1.140783536376E-06,8.46668376652815E-06
9,3.30753816086826E-06,1.02822399838942E-06,1.08083179763222E-05,2.42365425104178E-06,9.03090449829354E-07,5.42938695010283E-06,4.63996924603786E-06,2.08886888704759E-06,9.98684083697299E-06,6.03668105156885E-06,1.03409027000604E-06,2.11682442265252E-05
10,2.67078304905984E-06,1.11952750595871E-06,6.3849277959586E-06,1.59697882911776E-06,6.11813903835431E-07,2.67512821020925E-06,3.82245393097946E-06,2.41899913551909E-06,5.63888473455639E-06,3.63470786813499E-06,7.83768157930354E-07,1.06014651919395E-05
11,1.7570375177911E-06,8.92717717230577E-07,4.61861129489686E-06,2.20096270785083E-06,1.28698621892909E-06,2.84798485002587E-06,2.2374912257798E-06,1.41794346575352E-06,4.05043408591155E-06,2.33457790557168E-06,1.21185717224156E-06,4.78068430235605E-06
12,1.51287189140703E-06,8.2242611891085E-07,3.05054282042268E-06,2.17122027099966E-05,8.56785260812861E-07,8.47472577637139E-05,1.86552703809184E-06,1.0168124878381E-06,2.81731168646123E-06,2.13635023129655E-06,1.09152180272076E-06,4.67321820944259E-06
13,1.48268890261723E-06,5.04313515392596E-07,3.96394337561408E-06,6.29477810131599E-06,1.1168987915274E-06,1.40621219391808E-05,6.54919918900987E-06,7.554914915886E-07,2.73426613451496E-05,2.18776963928728E-06,8.14334361128507E-07,3.24958495904563E-06
